file,Jaro,Winkler,Levenshtein,Ratcliff_Obershelp,Fuzzy,Damerau-Levenshtein,LCSubstring,LCSubsequence
1,84.5679797,91,93.3471933,93.3471933,100,93.4511435,99.58463136,93.34719335
1,79.8940493,82,78.1483325,63.5141862,86,83.7232454,94.807892,78.1483325
1,81.6776151,89,91.1254338,89.5389192,100,92.5632127,99.4807892,91.12543381
0,62.9462538,64,32.0068221,2.3210832,46,48.267663,59.29387331,28.52275493
0,61.6753793,67,37.7405338,0.9020619,48,45.8969466,60.12461059,38.25983313
0,61.019381,77,31.9775596,0.9020619,39,43.423953,47.45586708,31.92090395
1,80.09134,82,78.8241156,60.9865471,86,82.5610364,90.53537285,78.8241156
1,79.8940493,82,78.1483325,61.6226979,86,83.7232454,90.91778203,78.1483325
1,81.4110193,83,84.3809524,68,88,87.7619048,94.16826004,84.38095238
0,54.5991101,78,36.7170626,1.3068337,37,56.6155122,79.3499044,37.06259241
0,59.2099152,77,38.6499728,3.4898214,36,59.1542751,69.50286807,42.58255298
0,62.6160882,67,30.2702703,2.4472574,44,47.7621483,49.04397706,34.18803419
1,81.7020084,89,95.0868486,95.0868486,100,95.235732,97.15370019,95.08684864
1,81.6776151,89,91.1254338,89.5389192,100,92.5632127,97.15370019,91.12543381
1,81.4110193,83,84.3809524,69.7142857,88,87.7619048,95.92030361,84.38095238
0,65.8820637,65,32.5491281,2.3883697,44,38.2689557,74.19354839,37.83616692
0,72.2593233,75,32.2862606,1.047619,33,56.2219731,66.9829222,41.95867026
0,63.1738914,64,30.295082,2.486911,46,53.306498,40.60721063,33.23114654
1,83.4742753,90,98.4332793,98.3792545,99,98.4332793,99.52,98.43327931
1,60.6111417,76,34.0189873,3.7183544,49,41.7721519,66.34666667,34.01898734
1,77.0280988,86,63.9690568,5.7720916,82,67.9857185,90.45333333,63.96905683
0,55.429004,74,35.9048306,2.363216,50,57.6180576,68.05333333,38.65127857
0,65.4700564,80,39.1470401,2.3832221,30,56.6440049,59.52,31.6816231
0,61.666316,60,26.869455,1.407212,31,34.1830338,46.98666667,28.7092883
1,83.4742753,90,98.4332793,98.3792545,99,98.4332793,99.83579639,98.43327931
1,61.0353533,77,32.983871,3.7903226,49,42.2177419,65.8456486,32.98387097
1,78.0863807,87,64.3525506,6.0368246,82,68.638696,90.64039409,64.35255056
0,69.8652615,79,22.037037,2.1627775,51,52.0998415,63.87520525,33.29413741
0,61.8657054,66,35.4448399,2.8486647,45,58.8916877,79.25561029,39.40628638
0,59.7108355,61,26.7352185,1.1041009,40,38.7571545,50.84838533,31.24760077
1,60.6111417,76,34.0189873,4.5094937,49,41.7721519,78.7136294,34.01898734
1,61.0353533,77,32.983871,4.4354839,49,42.2177419,77.79479326,32.98387097
1,63.322659,78,35.2501169,4.0205704,49,46.6573165,76.41653905,35.25011688
0,52.2540867,74,31.9364799,2.9411765,20,51.7301038,59.41807044,38.62167983
0,56.4208849,62,29.3276109,2.725724,39,43.2503277,70.29096478,35.46019198
